,고객번호,성별,CAT연령대,지역,경쟁사이용횟수,채널이용횟수,멤버십가입개수,RECENCY7,고객구분1_8,편의품구매비중,선매품구매비중,전문품구매비중,주말방문비중,주말구매비중
0,1,M,노년층,서울,15,0,0,8,감소,0.24428852225095155,0.7493977298997981,0.006313747849250323,0.2584269662921348,0.2784843072706336
1,2,M,노년층,경기,8,0,0,1,감소,0.48468437590820346,0.4928068581150971,0.022508765976699468,0.3149448345035105,0.3498311438589687
2,3,M,노년층,서울,0,0,0,8,감소,0.9632275290619476,0.03677247093805232,0.0,0.2012750455373406,0.207241252864572
3,4,F,노년층,서울,3,0,0,0,증가,0.42773125762207,0.57226874237793,0.0,0.2272174969623329,0.2173650767237273
4,6,F,노년층,강원,0,0,0,0,증가,0.5942406459928137,0.39116014775335584,0.014599206253830531,0.2772925764192139,0.1953376143901794
5,7,F,노년층,서울,1,4,0,2,증가,0.150673004028653,0.7241155785758895,0.12521141739545752,0.4333821376281113,0.3503763941923483
6,8,M,노년층,서울,3,0,0,0,증가,0.7406025673038632,0.25669262249310965,0.002704810203027156,0.4859926918392204,0.4542448286846828
7,9,F,노년층,경기,0,0,0,5,증가,0.05722830888489897,0.9271098734218444,0.01566181769325663,0.3425324675324675,0.4880055696017002
8,10,F,노년층,서울,0,0,0,1,감소,0.85733830323031,0.12140942227031203,0.021252274499377968,0.4694805194805195,0.5208958077775229
9,11,M,노년층,경기,2,0,1,0,증가,0.22872033343584366,0.7549179268270174,0.016361739737138864,0.3644067796610169,0.2624988310914571
10,12,M,노년층,서울,0,0,0,0,감소,0.5035836622508212,0.4964163377491788,0.0,0.2693208430913349,0.2292924830999411
11,13,F,노년층,인천,0,0,0,0,감소,0.8710179827195808,0.12898201728041925,0.0,0.2177005136309759,0.4442605613256628
12,14,F,노년층,서울,0,1,0,4,감소,0.3691425249776743,0.5477114192471589,0.08314605577516683,0.3341687552213868,0.2366567665286838
13,15,F,노년층,서울,1,0,0,0,감소,0.2991582670253723,0.7008417329746277,0.0,0.3057050592034445,0.3783217677104473
14,16,F,노년층,부산,7,0,0,0,증가,0.8994250441360127,0.09729854292455896,0.0032764129394284077,0.198076923076923,0.1747158121326663
15,17,M,노년층,서울,2,0,0,1,감소,0.5208923877555856,0.41678178767097623,0.06232582457343819,0.4612244897959183,0.5761677184038118
