,고객번호,성별,CAT연령대,지역,경쟁사이용횟수,채널이용횟수,멤버십가입개수,RECENCY6,고객구분1_7,편의품구매비중,선매품구매비중,전문품구매비중,주말방문비중,주말구매비중
0,1,M,노년층,서울,15,0,0,3,감소,0.26205315004586044,0.7309479651051587,0.006998884848980884,0.2538631346578366,0.2929741538063258
1,2,M,노년층,경기,8,0,0,6,증가,0.5125213170614561,0.4607614793372065,0.026717203601337388,0.3318025258323765,0.357043929692394
2,3,M,노년층,서울,0,0,0,1,증가,0.9570000430401814,0.04299995695981857,0.0,0.1741397288842544,0.1710199597835762
3,4,F,노년층,서울,3,0,0,0,증가,0.4344182438029621,0.5655817561970379,0.0,0.2340425531914893,0.2134828607577956
4,6,F,노년층,강원,0,0,0,0,증가,0.6110531265712477,0.3802313866159587,0.008715486812793705,0.2809773123909249,0.1923343188768335
5,7,F,노년층,서울,1,4,0,1,감소,0.13263874305939027,0.7401288840432356,0.12723237289737413,0.4353741496598639,0.3580617630541802
6,8,M,노년층,서울,3,0,0,1,증가,0.717819198718138,0.2789995044752572,0.003181296806604796,0.4856933235509905,0.4075951871736606
7,9,F,노년층,경기,0,0,0,2,증가,0.045389088276672714,0.9406394631876638,0.013971448535663547,0.3339622641509434,0.5230175486471376
8,10,F,노년층,서울,0,0,0,3,감소,0.8497388964938233,0.12584964029332868,0.02441146321284806,0.4756283320639756,0.526368448847078
9,11,M,노년층,경기,2,0,1,0,감소,0.20232518296572466,0.7807491127947995,0.01692570423947585,0.3599374021909233,0.2524453374446212
10,12,M,노년층,서울,0,0,0,5,증가,0.6949613104457196,0.3050386895542804,0.0,0.2773109243697479,0.3538994715647877
11,13,F,노년층,인천,0,0,0,1,증가,0.8844904531095553,0.11550954689044464,0.0,0.2191780821917808,0.4453709284764074
12,14,F,노년층,서울,0,1,0,0,감소,0.34744515452985164,0.5629881827585227,0.08956666271162562,0.3448275862068966,0.2303750190171652
13,15,F,노년층,서울,1,0,0,0,감소,0.2524755778659997,0.7475244221340003,0.0,0.3105590062111801,0.3928375143278582
14,16,F,노년층,부산,7,0,0,0,증가,0.9211035587290389,0.07508317683060527,0.0038132644403557777,0.1826280623608017,0.1865105770422414
15,17,M,노년층,서울,2,0,0,0,감소,0.5216067947374196,0.4102954810023479,0.0680977242602325,0.4398625429553264,0.5802991936833535
16,18,F,노년층,인천,0,0,0,0,감소,0.11428588752506676,0.8801016508580946,0.00561246161683871,0.3385579937304075,0.2601414782928405
17,19,F,노년층,경기,0,0,0,2,증가,0.6300176659451602,0.36163810324549567,0.008344230809344178,0.3115124153498871,0.3756049503155321
18,20,M,노년층,서울,25,0,0,0,감소,0.8262189500188729,0.1737810499811271,0.0,0.2517647058823529,0.2192719854935829
19,21,M,노년층,서울,0,0,1,1,증가,0.7040759404342117,0.29592405956578827,0.0,0.4097087378640777,0.3771948434365931
20,22,F,노년층,서울,0,0,0,1,감소,0.2505312813844825,0.01151267031164742,0.7379560483038701,0.4255874673629243,0.2500811218908051
21,23,M,노년층,서울,0,0,0,5,증가,0.5008272554334292,0.36525769677807957,0.1339150477884912,0.5229885057471264,0.458099585964094
22,24,M,노년층,서울,0,0,0,0,증가,0.5753915726222099,0.3815354956096214,0.04307293176816879,0.2528,0.2106561072996604
23,25,F,노년층,부산,10,0,0,0,증가,0.1417051089076902,0.7861292930779741,0.07216559801433572,0.2391799544419134,0.1213957266822273
24,26,F,노년층,부산,1,0,0,0,감소,0.10266746750179609,0.779983592769082,0.1173489397291219,0.403462050599201,0.4797694391691743
