"고객번호","이용금액14_1","이용금액14_2","이용금액14_3","이용금액14_4","이용금액15_1","이용금액15_2","이용금액15_3","이용금액15_4","고객구분"
"00001",9646692,11020383,11883466,20003090,9543197,8784914,8552517,4670286,"1"
"00002",14903836,10423564,16358006,6069926,18958690,9515425,15165293,10583419,"1"
"00003",319512,560467,714435,338060,286522,319871,461246,227609,"0"
"00004",1382005,3814361,2683216,1562803,1782151,1961974,2330363,1419926,"0"
"00006",2285685,3183640,3486572,2529507,3712686,2830897,3854256,2825388,"0"
"00007",11223538,2904688,5193110,13905631,9370757,12150567,3637053,13202928,"0"
"00008",6786451,5379779,7714876,9559474,7277082,7575961,8559923,8985846,"0"
"00009",15157224,24428329,18639458,19674266,55772471,30273336,24207072,17388985,"0"
"00010",2685696,2642592,2483193,1690435,2948818,2446620,2381649,1545661,"1"
"00011",13273824,15171006,35161708,10929428,2997828,31104917,3981303,17596487,"0"
"00012",1054740,200280,530722,300218,292476,969139,2409959,837443,"1"
"00013",1882230,2177603,1849959,2202803,2493862,2686871,2843384,1668330,"0"
"00014",4379577,5471326,5246111,2813335,6241167,5455189,3372950,2223807,"0"
"00015",4263899,5698285,3100041,1129843,3202096,5381753,1908333,1092650,"0"
"00016",743067,576682,1263809,1540858,2412336,1331814,1412255,1564203,"0"
"00017",26769283,25171516,5986301,12565446,4418673,21131693,21795498,24562603,"1"
"00018",43346380,21824096,13300473,754785,1786047,1076454,1606107,854330,"1"
"00019",6340235,4904627,2666606,5893681,3217775,8097329,6957272,4794022,"0"
"00020",3501699,3155389,2692188,1565666,3849855,2935330,2632284,2663117,"1"
"00021",2468857,2280406,3345786,2039155,3244611,4112081,3140005,2364938,"0"
"00022",12324998,32462899,12272236,25021571,30712773,7726192,2820773,19266645,"1"
"00023",6640237,8186543,7920051,21559177,8661078,7176308,9376854,7021261,"0"
"00024",1165667,1822902,2129998,1466577,1312620,1033225,1754889,1460612,"1"
"00025",1238120,3027023,3051507,1784335,11917528,7800117,2747656,14202959,"0"
"00026",14735056,17597045,9074544,36773564,17569841,7847230,8383418,10987815,"1"
"00027",14924224,6594721,4955079,2924116,8093204,5887922,16070109,2856756,"1"
"00028",778383,1349545,709947,1010950,729659,1356978,2087574,750520,"0"
"00029",10620110,15866080,9597897,8164941,10233318,10603938,9436492,11619210,"1"
"00030",8665613,12575871,13378152,15256664,10604862,17205834,13453182,14295465,"0"
"00031",1290849,1314831,1981884,2120401,1821273,1482413,1919408,1577845,"0"
"00032",1392431,2521161,3273261,2043623,2266225,2374769,2832746,2897529,"0"
"00033",1527522,1498869,1282253,895122,1299822,1273481,1734686,1168284,"1"
"00034",1737337,3391478,1634381,2291117,1595767,2104781,1540686,865424,"0"
"00035",4100273,5275588,8348866,2720810,5845454,6688589,6009279,6328827,"0"
"00036",4809500,9176703,5492518,5309437,1823222,8581117,6095007,2696998,"0"
"00037",2046938,3372164,8660016,14899475,6953733,10198144,6557987,6664953,"0"
"00038",2534183,2371954,3448819,2465710,2945956,2680671,3816917,3464722,"0"
"00039",74269972,44981782,7440879,15429616,5901045,30537677,16088416,16093251,"1"
"00040",2447521,4322304,2132274,1816720,4488285,2801158,6058138,2657532,"0"
"00041",2050684,3085560,1419969,2452977,3144193,1914812,2019552,2441690,"1"
"00042",1560482,2069739,1858036,1164496,2385169,2104418,2242071,2618699,"0"
"00043",1079096,782767,415226,1945813,578694,897587,982235,669361,"1"
"00044",5225255,2944573,4563042,43439217,7062921,3012774,9000598,26273400,"1"
"00045",27609200,1717622,15969821,40268749,28533695,50620188,20667967,39259962,"0"
"00046",24009278,14641660,3099871,7333318,40873971,9044403,11044110,23774185,"1"
"00047",3566668,3803187,5741243,1618135,2211354,1708524,1243623,1434644,"1"
"00048",7024683,9258908,17243109,6503492,14458937,11324516,9147205,9436954,"0"
"00049",9394205,11974535,11014169,4142572,14007873,8725369,25487970,9288069,"1"
"00050",3435778,4275172,3555588,2888944,2831286,2713483,2950810,2703653,"1"
"00051",4508076,3067320,2443774,4081365,2331125,1827721,1517707,2206590,"1"
"00052",7413755,4872548,3702678,4011040,4653637,6363543,3935049,2461391,"1"
"00053",3356888,15357142,2637162,14765911,4361216,4998237,2395376,2992951,"0"
"00054",1471835,1788296,1411383,1308928,1069459,1174449,1034234,1383139,"1"
"00055",1011269,722531,1450789,1001146,1064734,787844,1192412,490706,"1"
"00056",16078681,13360911,2955758,8074422,22890775,14175611,4322436,10617979,"1"
"00057",1289717,1422708,1108170,1029722,2331095,725871,1336125,1152399,"1"
"00058",3417817,2936837,2820319,4201223,2983836,2626497,2568796,4523017,"1"
"00059",3728399,5003950,3235882,2728994,2341324,3704535,3413336,3258545,"1"
