고객번호,분기_count지수
00001,-0.6000000000000001
00002,2.0
00003,0.0
00004,5.4
00006,-2.4000000000000004
00007,4.4
00008,-0.6000000000000001
00009,2.0
00010,0.0
00011,5.4
00012,-2.4000000000000004
00013,4.4
00014,-0.6000000000000001
00015,2.0
00016,0.0
00017,5.4
00018,-2.4000000000000004
00019,4.4
00020,-0.6000000000000001
00021,2.0
00022,0.0
00023,5.4
00024,-2.4000000000000004
00025,4.4
00026,-0.6000000000000001
00027,2.0
00028,0.0
00029,5.4
00030,-2.4000000000000004
00031,6.0
00032,-0.6000000000000001
00033,3.6
00034,0.0
00035,5.4
00036,-2.4000000000000004
00037,6.0
00038,-0.6000000000000001
00039,3.6
00040,0.0
00041,5.4
00042,-2.4000000000000004
00043,6.0
00044,1.8
00045,3.4000000000000004
00046,0.5999999999999996
00047,7.4
00048,-0.5999999999999996
00049,5.4
00050,1.8
00051,3.4000000000000004
00052,0.5999999999999996
00053,7.4
00054,-0.5999999999999996
00055,5.4
00056,1.8
00057,3.4000000000000004
00058,0.5999999999999996
00059,1.4000000000000001
00060,-0.5999999999999996
00061,-0.6000000000000003
00062,1.8
00063,-2.5999999999999996
00064,0.5999999999999996
00065,1.4000000000000001
00066,-0.5999999999999996
00067,-0.6000000000000003
00068,1.8
00069,-2.5999999999999996
00070,0.5999999999999996
00071,1.4000000000000001
00072,0.3999999999999999
00073,2.6
00074,2.4000000000000004
00075,1.4000000000000001
00076,1.2000000000000002
00077,3.8000000000000007
00078,0.3999999999999999
00079,2.6
00080,2.4000000000000004
00081,1.4000000000000001
00082,1.2000000000000002
00083,3.8000000000000007
00084,0.3999999999999999
00085,2.6
00086,1.8
00087,5.6000000000000005
00088,3.0
00089,4.4
00090,2.6
00091,5.2
00092,1.8
00093,5.6000000000000005
00094,3.0
00095,4.4
00096,2.6
00097,5.2
00098,1.8
00099,5.6000000000000005
00100,2.6
00101,-0.6000000000000003
00102,4.6000000000000005
00103,2.6
00104,-0.6000000000000003
00105,4.6000000000000005
00106,2.6
00107,-0.6000000000000003
00108,4.6000000000000005
00109,2.6
00110,-0.6000000000000003
00111,4.6000000000000005
00112,2.6
00113,-0.6000000000000003
00114,3.8000000000000007
00115,3.4000000000000004
00116,0.5999999999999996
00117,3.8000000000000007
00118,3.4000000000000004
00119,0.5999999999999996
00120,3.8000000000000007
00121,3.4000000000000004
00122,0.5999999999999996
00123,3.8000000000000007
00124,3.4000000000000004
00125,0.5999999999999996
00126,3.8000000000000007
00127,3.4000000000000004
00128,-0.20000000000000018
00129,3.8000000000000007
00130,3.0
00131,0.5999999999999996
00132,3.8000000000000007
00133,3.0
00134,-0.20000000000000018
00135,3.8000000000000007
00136,3.0
00137,0.5999999999999996
00138,3.8000000000000007
00139,3.0
00140,-0.20000000000000018
00141,3.8000000000000007
00143,1.0
00144,4.0
00145,0.19999999999999996
00146,4.0
00147,1.0
00148,2.0
00149,1.0
00150,4.0
00151,0.19999999999999996
00152,4.0
00153,1.0
00154,2.0
00155,1.0
00156,4.0
00157,0.19999999999999996
00158,3.2
00159,-0.19999999999999996
00160,2.0
00161,0.6000000000000001
00162,2.0
00163,0.19999999999999996
00164,3.2
00165,-0.19999999999999996
00166,2.0
00167,0.6000000000000001
00168,2.0
00169,0.19999999999999996
00170,3.2
00171,-0.19999999999999996
00172,2.4000000000000004
00173,-0.19999999999999996
00175,2.4000000000000004
00176,-0.19999999999999996
00177,2.4000000000000004
00178,-0.19999999999999996
00179,2.4000000000000004
00180,-0.19999999999999996
00181,2.4000000000000004
00182,-0.19999999999999996
00183,2.4000000000000004
00184,-0.19999999999999996
00185,2.4000000000000004
00186,-0.19999999999999996
00187,3.6
00188,-0.19999999999999996
00189,3.6
00190,-0.19999999999999996
00191,3.6
00192,-0.19999999999999996
00193,3.6
00194,-0.19999999999999996
00195,3.6
00196,-0.19999999999999996
00197,3.6
00198,-0.19999999999999996
00199,3.6
00200,4.4
00201,2.2
00202,4.4
00203,2.2
00204,4.4
00205,2.2
00206,4.4
00207,2.2
00208,4.4
00209,2.2
00210,4.4
00211,2.2
00212,4.4
00213,2.2
00214,4.0
00215,0.19999999999999996
00216,5.2
00217,1.4000000000000001
00218,6.0
00219,0.19999999999999996
00220,4.0
00221,0.19999999999999996
00222,5.2
00223,1.4000000000000001
00224,6.0
00225,0.19999999999999996
00226,4.0
00227,0.19999999999999996
00228,3.6
00229,5.4
00230,1.4
00231,1.2000000000000002
00232,5.0
00233,-3.8000000000000007
00234,3.6
00235,5.4
00236,1.4
00237,1.2000000000000002
00238,5.0
00239,-3.8000000000000007
00240,3.6
00241,5.4
00242,1.0
00243,1.6
00245,5.8
00246,-3.8000000000000007
00247,4.0
00248,3.8
00249,1.0
00250,1.6
00251,5.8
00252,-3.8000000000000007
00253,4.0
00254,3.8
00255,1.0
00256,1.6
00257,4.0
00258,1.4
00259,4.800000000000001
00260,2.8000000000000003
00261,-0.40000000000000036
00262,3.6
00263,8.600000000000001
00264,-1.5999999999999996
00265,1.8
00266,6.6
00267,3.0
00268,0.5999999999999996
00269,4.0
00270,1.4
00271,3.6
00272,-0.20000000000000018
00273,2.6000000000000005
00274,2.4000000000000004
00275,5.6000000000000005
00276,1.4
00277,0.5999999999999996
00278,3.6
00279,6.0
00280,-0.5999999999999996
00281,1.0
00282,4.4
00283,3.6
00284,-0.20000000000000018
00285,1.8
00286,2.4000000000000004
00287,5.6000000000000005
00288,0.5999999999999996
00289,0.5999999999999996
00290,3.6
00291,5.2
00292,-0.5999999999999996
00293,1.0
00294,3.6
00295,3.6
00296,-0.20000000000000018
00297,1.8
00298,2.4000000000000004
00299,4.800000000000001
00300,-0.6000000000000003
00301,-1.0000000000000002
00302,2.8000000000000003
00303,5.6000000000000005
00304,-2.2
00305,1.0
00306,3.6
00307,4.0
00308,-0.20000000000000018
00309,0.6000000000000001
00310,2.0
00311,4.800000000000001
00312,-0.6000000000000003
00313,3.8000000000000007
00314,-0.20000000000000018
00315,4.6000000000000005
00316,-1.0000000000000002
00317,3.4000000000000004
00318,-0.6000000000000003
00319,3.8000000000000007
00320,-0.20000000000000018
00321,4.6000000000000005
00322,-1.0000000000000002
00323,3.4000000000000004
00324,-0.6000000000000003
00325,3.8000000000000007
00326,-0.20000000000000018
00327,3.8000000000000007
00328,-0.6000000000000003
00329,3.4000000000000004
00330,-1.4000000000000004
00331,4.2
00332,-0.20000000000000018
00333,3.8000000000000007
00334,-0.6000000000000003
00335,3.4000000000000004
00336,-1.4000000000000004
00337,4.2
00338,-0.20000000000000018
00339,3.8000000000000007
00340,-0.6000000000000003
00341,-1.0000000000000002
00342,1.4000000000000001
00343,-1.6
00344,-1.6
00345,2.4000000000000004
00346,-2.2
00347,-1.0000000000000002
00348,1.4000000000000001
00349,-1.6
00350,-1.6
00351,2.4000000000000004
00352,-2.2
00353,-1.0000000000000002
00354,1.4000000000000001
00355,-1.6
00356,-1.6
00357,2.4000000000000004
00358,-2.2
00359,-1.0000000000000002
00360,1.4000000000000001
00361,-1.6
00362,-1.6
00363,2.4000000000000004
00364,-2.2
00365,-1.0000000000000002
00366,1.4000000000000001
00367,-1.6
00368,-1.6
00369,2.2
00370,0.5999999999999996
00371,-0.3999999999999999
00372,2.2
00373,0.5999999999999996
00374,-0.3999999999999999
00375,2.2
00376,0.5999999999999996
00377,-0.3999999999999999
00378,2.2
00379,0.5999999999999996
00380,-0.3999999999999999
00381,2.2
00382,0.5999999999999996
00383,1.8
00384,3.4000000000000004
00385,1.0
00386,1.8
00387,3.4000000000000004
00388,1.0
00389,1.8
00390,3.4000000000000004
00391,1.0
00392,1.8
00393,3.4000000000000004
00394,1.0
00395,1.8
00396,3.4000000000000004
00397,1.0
00398,1.8
00399,3.4000000000000004
00400,1.0
00401,1.8
00402,3.4000000000000004
00403,1.0
00404,1.8
