고객번호,가공식품_구매지수,신선식품_구매지수,일상용품_구매지수,의약품/의료기기_구매지수,교육/문화용품_구매지수,외식_구매지수,기타_구매지수,디지털/가전_구매지수,가구/인테리어_구매지수,의류_구매지수,전문스포츠/레저_구매지수,패션잡화_구매지수,유아동_구매지수,명품_구매지수
00001,0.4,0.4,-3.8000000000000007,2.4000000000000004,0.0,0.4,0.0,10.200000000000001,-0.6000000000000005,0.4,0.0,0.8,-1.4,2.4000000000000004
00002,0.4,0.0,0.8,2.8000000000000003,0.0,0.4,0.0,7.6,5.2,0.8,0.0,0.4,6.6000000000000005,2.8000000000000003
00003,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
00004,0.0,0.0,0.4,4.4,0.0,1.4000000000000001,0.0,0.0,8.8,1.4000000000000001,4.0,1.8,4.4,0.0
00006,0.0,1.4000000000000001,0.4,0.0,4.0,0.8,0.0,0.0,10.2,0.4,2.0,9.4,-2.4000000000000004,8.0
00007,0.0,0.0,1.8,6.800000000000001,5.4,0.0,0.0,7.4,8.8,-0.8,4.800000000000001,0.19999999999999996,4.0,9.200000000000001
00008,1.0,0.0,0.0,0.0,2.0,0.4,0.0,-3.0000000000000004,2.4000000000000004,0.8,0.0,3.4000000000000004,2.0,2.0
00009,1.4000000000000001,3.4000000000000004,8.200000000000001,0.0,0.0,3.8,0.0,3.6,7.800000000000001,-0.19999999999999996,2.4000000000000004,3.4000000000000004,0.0,9.8
00010,1.4000000000000001,0.0,0.4,0.8,-3.0,1.2000000000000002,0.0,0.0,4.4,1.8,5.0,4.0,0.0,2.4000000000000004
00011,1.4000000000000001,0.8,0.4,-3.6000000000000005,4.4,1.4000000000000001,-1.2000000000000006,-2.2,-3.0000000000000004,-1.4000000000000004,2.0,2.2,-0.40000000000000036,-0.8000000000000007
00012,0.4,0.4,0.4,0.0,0.0,4.0,0.0,0.0,-3.0,5.8,0.0,0.7999999999999998,0.0,0.0
00013,1.0,0.0,0.4,2.8000000000000003,4.0,0.4,-1.0,0.0,4.0,1.8,-3.0,2.4000000000000004,5.6000000000000005,0.0
